Tree	q1	q2	cellpop	coars	cryst	dens	mfa	moe	rad	rwidth	specsurf	tad	cellwt	h97
E560A3_3_069_2	-2.582	-0.028	1206.5841	333.5448	2.5703	402.7148	21.6568	8.151	30.6164	4.2778	368.7267	28.2903	2.0832	500
E560A3_3_069_4	-3.789	1.25	1360.7272	301.22	2.5861	409.4898	19.887	9.4675	29.5846	2.4094	387.1416	25.8242	1.9996	350
E560A3_3_070_4	-4.427	-0.615	1689.9477	228.8919	2.5851	387.4518	25.8481	6.9494	25.3731	3.0922	444.9926	24.0041	1.6852	370
E560A3_3_072_2	-2.929	-1.124	1278.228	341.8028	2.5677	435.7609	15.1282	11.0897	30.4148	2.6514	347.8533	26.7785	2.2077	375
E560A3_3_073_4	-2.179	-1.252	1444.2813	301.792	2.6346	437.0032	11.7715	13.0871	28.5944	2.75	367.0741	25.0375	2.0755	290
E560A3_3_074_1	0.732	-0.554	1139.751	380.3259	2.5449	427.0565	19.1998	9.6033	32.1557	3.1625	330.2397	28.42	2.2927	570
E560A3_3_075_1	-3.239	-0.696	1254.2971	327.2591	2.5444	411.5714	21.7056	8.8026	31.4854	3.0069	369.3387	26.4353	2.0856	470
E560A3_3_075_2	-1.599	-1.477	1383.3017	304.9931	2.4968	420.2579	25.3408	7.9222	29.5694	2.525	372.5188	25.3635	2.0362	380
E560A3_3_076_2	-1.451	0.032	1741.8559	222.519	2.5428	385.3522	34.2059	4.8178	25.541	2.8917	453.9611	23.5239	1.6519	250
E560A3_3_076_5	-0.645	-1.673	1325.3574	297.3785	2.4793	386.1661	29.9294	6.0319	29.0869	3.3461	398.3823	27.2416	1.9127	420
E560A3_3_077_4	0.313	-0.898	1409.2611	294.6427	2.5903	416.6507	16.8484	10.4213	28.5451	2.5486	384.7536	25.7088	1.994	490
E560A3_3_078_1	0.64	-1.41	1307.8995	310.9775	2.5865	405.6456	14.9866	10.1504	29.7796	3.2274	382.9609	27.0376	2.019	635
E560A3_3_078_3	-2.087	-0.775	1320.0586	298.3387	2.5585	392.2055	15.4411	9.8059	29.45	2.6656	392.7349	26.6932	1.9377	350
E560A3_3_078_4	-2.699	0.218	1406.4686	304.6625	2.5955	428.594	16.5016	10.6438	27.0031	2.4056	376.771	27.3326	2.0689	470
E560A3_3_081_5	2.803	-3.443	1388.1677	283.256	2.5547	394.6903	22.2763	7.734	29.8877	3.3603	403.8166	24.9045	1.8941	465
E560A3_3_082_4	-0.033	-1.433	1245.7796	392.25	2.5466	493.9154	21.726	9.6792	30.6153	3.5	308.7585	27.4149	2.5578	420
E560A3_3_083_2	2.352	-1.972	1867.1314	272.021	2.6541	509.4987	14.9886	14.1041	24.0784	2.3923	358.2815	23.1126	2.1716	275
E560A3_3_083_4	0.287	-3.59	1314.2573	339.9569	2.6011	442.82	15.8859	11.5113	29.3214	2.9857	345.4228	27.056	2.2241	495
E560A3_3_084_2	1.566	-1.354	1403.4303	297.0526	2.7351	413.6429	12.4064	12.7931	28.2314	2.9375	386.3931	26.8233	1.9926	590
E560A3_3_084_5	2.976	-2.44	1206.2691	329.0535	2.6851	391.9504	19.2047	8.9665	32.0463	4.4676	371.174	27.022	2.0236	675
E560A3_3_085_2	0.367	-1.709	1274.3078	309.2302	2.5446	396.0074	23.0765	7.4606	29.5102	2.7574	382.2368	27.6746	1.9829	310
E560A3_3_086_2	0.799	-2.207	1581.971	284.111	2.5728	447.0907	18.7481	10.6454	26.7894	2.3292	379.8055	24.484	2.0467	340
E560A3_3_086_3	0.476	-1.154	1332.2008	330.9063	2.5936	436.1355	16.7966	10.8802	29.0309	3.4107	352.3092	26.8906	2.1753	575
E560A3_3_087_3	1.027	-0.823	1477.9263	293.9583	2.6632	430.125	22.4259	9.4528	27.826	3.3281	377.1508	25.7374	2.0259	500
E560A3_3_088_2	1.179	-0.052	1482.4681	306.9405	2.573	456.1444	15.5124	12.5495	27.7836	2.0556	361.0789	25.3247	2.1538	415
E560A3_3_089_2	-1.541	-0.203	1309.5547	311.1188	2.5688	400.7155	19.4407	8.4416	30.4397	3.4931	377.0907	26.3322	1.9937	430
E560A3_3_090_5	1.33	-0.332	1412.7094	294.5066	2.5599	415.2062	18.9142	10.074	27.7083	2.4431	386.9619	26.4571	1.997	400
E560A3_3_091_1	0.47	-0.483	1403.2521	303.4516	2.4738	422.8039	26.9317	7.2054	28.5306	3.3125	371.1428	26.1556	2.0379	350
E560A3_3_092_1	-0.115	-1.948	1332.2833	268.2899	2.5962	357.7971	19.9914	7.8521	30.1511	2.7067	430.7021	25.7483	1.738	270
E560A3_3_093_2	2.34	-1.109	1529.195	285.5445	2.5753	437.3012	22.7236	8.8848	26.0271	2.7014	379.1126	25.977	2.0257	360
E560A3_3_094_1	0.938	-0.364	1260.8047	327.9091	2.5178	411.5554	21.5135	8.0056	29.7488	3.4026	361.6458	27.9576	2.0853	480
E560A3_3_095_1	-1.073	-0.567	1423.8184	293.632	2.5316	413.2258	21.7946	8.2646	27.9954	2.7458	380.6226	26.1533	1.9795	360
E560A3_3_096_1	-1.962	-0.451	1232.7699	352.4727	2.5436	433.076	21.8514	9.2401	30.4634	3.9566	347.4289	28.0268	2.237	550
E560A3_3_097_2	-2.196	-0.232	1318.9345	299.5226	2.5498	392.992	19.9074	8.6849	27.7341	3.5438	397.6168	28.6313	1.9444	600
E560A3_3_098_3	-3.421	-0.968	1329.4088	275.072	2.649	368.2074	18.2294	9.1295	28.2201	3.625	418.5632	27.7184	1.7916	680
E560A3_3_099_1	-0.294	1.467	1308.424	318.7989	2.5315	418.1317	20.7357	8.6277	28.224	2.4368	370.0673	28.2167	2.081	560
E560A3_3_100_2	-3.83	0.617	1288.7971	319.8904	2.5582	413.3276	17.1219	10.0466	28.9985	3.215	369.5507	27.6597	2.0751	535
E560A3_3_102_1	-0.044	1.858	1200.1819	352.102	2.5507	418.0507	17.3998	9.695	30.326	3.4881	352.4482	28.7234	2.1865	620
E560A3_3_102_2	-0.936	-0.892	1184.806	371.9033	2.6154	441.6783	14.4106	12.1346	32.6986	3.7239	335.3294	26.8725	2.3202	735
E560A3_3_103_2	-2.094	-0.024	1144.1038	381.8645	2.6054	432.1779	13.0484	12.7448	32.1371	2.7	331.0191	28.3909	2.3226	540
